"model_ID","model","threshold","thr_value","n_presences","n_absences","TPR_mean","TPR_sd","TNR_mean","TNR_sd","SORENSEN_mean","SORENSEN_sd","JACCARD_mean","JACCARD_sd","FPB_mean","FPB_sd","OR_mean","OR_sd","TSS_mean","TSS_sd","AUC_mean","AUC_sd","BOYCE_mean","BOYCE_sd","IMAE_mean","IMAE_sd"
1,"esm_glm","max_sorensen",0.46675278,180,180,0.922222222222222,0.104801704138309,0.694444444444444,0.277106468512453,0.836077745783628,0.0974175430630733,0.730220057720058,0.147417224748672,1.46044011544012,0.294834449497345,0.0777777777777778,0.104801704138309,0.616666666666667,0.26315940713419,0.813888888888889,0.153043134235315,0.943936723259044,0.0542242176395887,0.59547451444503,0.0374397523945362
2,"esm_svm","max_sorensen",0.470742,180,180,0.922222222222222,0.11357423124351,0.688888888888889,0.242644013931535,0.830634137104725,0.0766760864464171,0.71756734006734,0.114530344478431,1.43513468013468,0.229060688956862,0.0777777777777778,0.11357423124351,0.611111111111111,0.211423443085385,0.817592592592593,0.112226995586557,0.945047808952209,0.0369582431861611,0.583265529522266,0.0278395637399513
3,"esm_gam","max_sorensen",0.17772262,180,180,0.927777777777778,0.0947201295259892,0.683333333333333,0.260231255834902,0.834162275632864,0.0802436625840622,0.723612313612314,0.122239489204714,1.44722462722463,0.244478978409427,0.0722222222222222,0.0947201295259892,0.611111111111111,0.224604093290529,0.816666666666667,0.122847581620149,0.955365611015346,0.0408706513526597,0.652911782518699,0.0515134481460331
4,"esm_max","max_sorensen",0.4917431,180,180,0.955555555555556,0.106613971658249,0.644444444444444,0.254211022447078,0.832756459227047,0.0899831115000082,0.723572631072631,0.136518856838018,1.44714526214526,0.273037713676037,0.0444444444444444,0.106613971658249,0.6,0.234071083285935,0.827777777777778,0.127063638215905,0.953967428039587,0.0354344152258472,0.577982216374381,0.0309028802707915
